                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8726,                 2.4043,                 1.9715,                0.06855,                0.09534,                0.02184,                0.00576,                 2.8788,                 6.2478,                  3.066,             0.00066438,             0.00066438,             0.00066438
                      2,                 2.1149,                 2.7075,                 2.2486,                0.08555,                0.10976,                0.03544,                0.01087,                 2.5583,                 3.5452,                 2.8961,               0.001312,               0.001312,               0.001312
                      3,                 2.0326,                 2.5972,                 2.1838,                0.32525,                0.13858,                0.13719,                0.04917,                 2.3899,                 3.1878,                 2.6309,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.9176,                 2.4072,                 2.0722,                0.24073,                0.25309,                0.18134,                0.06952,                 2.2719,                  2.816,                 2.5021,              0.0019143,              0.0019143,              0.0019143
                      5,                 1.8246,                  2.221,                 1.9726,                0.28984,                0.23836,                0.18769,                0.08008,                 2.2611,                 3.0067,                 2.4835,              0.0019143,              0.0019143,              0.0019143
                      6,                 1.7577,                 2.0825,                 1.9128,                0.35779,                0.34095,                0.27494,                0.10123,                  2.116,                 2.6108,                 2.3628,              0.0018857,              0.0018857,              0.0018857
                      7,                 1.6946,                 1.9985,                 1.8701,                0.46445,                0.38803,                0.37679,                0.16454,                 1.9831,                 2.2058,                 2.2332,              0.0018572,              0.0018572,              0.0018572
                      8,                 1.6568,                 1.9221,                 1.8215,                0.53025,                0.37805,                0.43353,                0.18219,                 1.9374,                 2.0249,                   2.19,              0.0018286,              0.0018286,              0.0018286
                      9,                 1.6338,                 1.8197,                 1.8062,                0.46456,                0.38956,                0.38859,                0.17116,                 1.9906,                 2.2778,                 2.1901,                 0.0018,                 0.0018,                 0.0018
                     10,                 1.6025,                 1.7541,                 1.7653,                0.56308,                0.43348,                0.46027,                0.20672,                 1.9638,                 1.9696,                 2.1707,              0.0017714,              0.0017714,              0.0017714
                     11,                 1.5852,                 1.6914,                 1.7519,                0.55012,                0.48337,                 0.4797,                0.20108,                 2.0109,                 1.9729,                 2.2236,              0.0017429,              0.0017429,              0.0017429
