                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7388,                 2.7057,                 1.7646,                0.19562,                 0.2006,                0.12159,                0.04475,                 2.1286,                 3.5818,                  2.387,             0.00066424,             0.00066424,             0.00066424
                      2,                 1.9121,                 2.3827,                 1.9033,                0.22634,                0.28023,                0.14353,                0.04769,                 2.2855,                 3.4989,                 2.4505,              0.0013177,              0.0013177,              0.0013177
                      3,                 1.9215,                 2.3032,                 1.9057,                0.15146,                0.18182,                0.08022,                0.02988,                 2.2942,                 4.0363,                  2.533,               0.001958,               0.001958,               0.001958
                      4,                 1.8611,                 2.1899,                  1.873,                0.25796,                0.28867,                0.20814,                 0.0774,                 2.2398,                    2.6,                 2.3555,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.8185,                  2.091,                 1.8335,                0.37933,                0.31596,                0.29624,                0.11575,                 2.1107,                 2.4564,                  2.254,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.7592,                 1.9876,                 1.7922,                0.42721,                0.41574,                0.38015,                0.15521,                 1.9873,                 2.2262,                  2.176,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.7106,                 1.9064,                  1.753,                0.42676,                0.40909,                0.35933,                0.15975,                 2.0242,                 2.1959,                 2.1455,               0.001901,               0.001901,               0.001901
                      8,                 1.6861,                 1.8313,                 1.7162,                0.47775,                0.35497,                0.39293,                 0.1633,                 1.9578,                 2.1163,                 2.0725,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.6523,                 1.7576,                 1.6861,                0.51487,                0.50222,                0.46012,                0.19633,                 1.9245,                 1.9189,                 2.1135,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.6373,                 1.7166,                 1.6757,                0.57792,                0.45011,                0.47987,                0.21437,                 1.9089,                 2.0258,                 2.0676,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.6077,                 1.6729,                 1.6588,                0.60579,                0.50887,                0.53836,                0.23882,                 1.9183,                 1.7838,                 2.0781,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.5933,                 1.6038,                   1.64,                0.61182,                0.47228,                0.52286,                0.22972,                 1.9309,                 1.9215,                 2.0991,               0.001802,               0.001802,               0.001802
                     13,                 1.5675,                 1.5824,                 1.6167,                0.62738,                0.55253,                 0.5754,                0.25847,                 1.8458,                 1.8169,                 1.9274,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.5549,                  1.553,                 1.6081,                0.64814,                0.54656,                0.57435,                0.26491,                 1.8421,                 1.7758,                 1.9588,              0.0017624,              0.0017624,              0.0017624
                     15,                  1.523,                 1.5087,                 1.5841,                0.68555,                 0.5643,                0.61468,                0.28018,                 1.8367,                 1.5505,                 1.9472,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.5212,                 1.4967,                 1.5868,                0.67671,                0.61197,                 0.6401,                0.29736,                 1.7511,                 1.5121,                 1.9001,              0.0017228,              0.0017228,              0.0017228
                     17,                  1.499,                 1.4271,                 1.5589,                0.66422,                 0.6294,                0.63977,                0.29132,                 1.8502,                 1.5329,                 1.9566,               0.001703,               0.001703,               0.001703
                     18,                 1.5086,                 1.4416,                 1.5741,                0.65294,                0.58191,                0.61673,                0.29598,                 1.8533,                 1.5637,                  1.959,              0.0016832,              0.0016832,              0.0016832
                     19,                  1.462,                 1.3811,                 1.5325,                0.60543,                0.58426,                0.61511,                 0.2866,                 1.8204,                 1.5419,                 1.9346,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.4907,                 1.3847,                   1.55,                0.72575,                0.60421,                0.65396,                0.31628,                 1.8025,                 1.5148,                 1.9424,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.4553,                 1.3599,                 1.5291,                0.69257,                0.61086,                0.63316,                0.30374,                 1.8218,                 1.4805,                 1.9194,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.4578,                 1.3558,                 1.5149,                0.70072,                0.68514,                0.69498,                 0.3434,                 1.7611,                 1.3861,                 1.8834,               0.001604,               0.001604,               0.001604
                     23,                 1.4269,                 1.3247,                 1.4996,                  0.708,                0.61197,                0.65854,                0.31343,                 1.7891,                 1.4148,                 1.9142,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.4351,                 1.2982,                 1.5071,                0.64512,                0.61266,                0.62943,                0.31784,                 1.7715,                 1.4557,                 1.9157,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.4203,                 1.2954,                 1.5033,                0.71037,                0.63193,                 0.6731,                0.32539,                 1.8224,                 1.3897,                 1.9674,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.4009,                 1.2526,                 1.4852,                0.73647,                0.66924,                0.70913,                0.36768,                 1.7284,                 1.3247,                 1.8364,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.3955,                 1.2521,                 1.4827,                0.72342,                0.66519,                0.69514,                0.34402,                 1.7754,                   1.33,                  1.886,               0.001505,               0.001505,               0.001505
                     28,                 1.3906,                 1.2287,                 1.4812,                0.68453,                0.67184,                0.68593,                0.35402,                 1.7455,                 1.3551,                  1.895,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.3842,                 1.2184,                 1.4699,                 0.7181,                0.65802,                0.70207,                0.35406,                 1.7782,                 1.3019,                 1.9295,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.3799,                 1.2109,                 1.4711,                0.75735,                0.64634,                0.69161,                0.35041,                 1.7819,                 1.3743,                 1.9101,              0.0014456,              0.0014456,              0.0014456
                     31,                  1.373,                 1.2093,                 1.4596,                 0.7696,                0.68404,                0.74737,                0.36602,                 1.7472,                 1.2156,                  1.865,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.3503,                 1.1747,                 1.4449,                 0.7095,                0.69512,                0.70122,                0.35087,                 1.7486,                  1.279,                 1.8975,               0.001406,               0.001406,               0.001406
                     33,                 1.3514,                 1.1529,                 1.4364,                0.77718,                0.69734,                 0.7428,                  0.378,                  1.677,                 1.2235,                 1.8147,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.3417,                  1.151,                 1.4376,                0.71924,                0.67406,                0.71994,                0.36491,                 1.7617,                 1.2795,                 1.8983,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.3266,                 1.1318,                 1.4285,                0.79183,                0.66297,                0.72114,                0.37716,                 1.7189,                 1.2255,                 1.8457,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3246,                 1.1231,                 1.4205,                 0.7328,                0.71175,                0.73929,                0.37546,                 1.7231,                  1.215,                 1.8429,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3271,                 1.1217,                  1.423,                0.80058,                0.65743,                0.73534,                0.38522,                 1.6926,                 1.2668,                 1.8203,               0.001307,               0.001307,               0.001307
                     38,                 1.3166,                 1.1127,                 1.4078,                0.77969,                0.70843,                0.74049,                 0.3877,                 1.7107,                 1.1773,                 1.8443,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3021,                 1.0879,                 1.4163,                0.76133,                0.71175,                0.73872,                0.38749,                 1.6886,                 1.2059,                 1.8316,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.2954,                 1.0981,                 1.3944,                0.77226,                0.69927,                0.74516,                0.37993,                 1.6942,                 1.1766,                  1.837,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2947,                 1.0788,                 1.4032,                0.79316,                0.69297,                 0.7461,                0.39554,                 1.6506,                 1.1595,                 1.7717,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.2753,                 1.0514,                 1.3799,                0.77613,                0.71491,                0.74167,                0.38367,                 1.7171,                 1.1187,                 1.8653,               0.001208,               0.001208,               0.001208
                     43,                 1.2746,                 1.0521,                 1.3858,                0.78405,                0.70953,                   0.74,                 0.3886,                 1.6934,                  1.166,                 1.8517,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.269,                 1.0332,                 1.3752,                0.79626,                0.71951,                0.76397,                0.40047,                 1.7026,                  1.121,                 1.8334,              0.0011684,              0.0011684,              0.0011684
